id_pedido,fecha_entrega,transportista,status_envio
1098,19/04/2025,Andreani,Entregado
1099,11/09/2025,Ocasa,Entregado
1100,24/10/2025,Correo Argentino,en camino
1101,04/09/2025,Andreani,Entregado
1103,07/06/2025,Correo Argentino,en camino
1104,22/10/2025,Moto,devuelto
1105,22/06/2025,Andreani,Entregado
1107,21/10/2025,Ocasa,en camino
1108,01/11/2025,Ocasa,Entregado
1109,06/05/2025,Moto,Entregado
1110,29/08/2025,Correo Argentino,Entregado
1111,18/05/2025,Moto,ENTREGADO
1112,16/03/2025,Ocasa,en camino
1113,25/12/2025,Ocasa,ENTREGADO
1114 ,05/02/2025,Correo Argentino,en camino
1116,26/12/2025,Andreani,ENTREGADO
1117,29/06/2025,Moto,Entregado
1118,10/05/2025,Moto,en camino
1119,23/05/2025,Correo Argentino,ENTREGADO
1120,26/02/2025,Andreani,devuelto
1121,31/01/2025,Andreani,Entregado
1122,17/04/2025,Ocasa,en camino
1123,29/03/2025,Ocasa,devuelto
1124,25/08/2025,Ocasa,en camino
1125,26/12/2025,Ocasa,Entregado
1126,03/08/2025,Correo Argentino,Entregado
1127,01/09/2025,Ocasa,devuelto
1128,20/01/2025,Ocasa,Entregado
1129,14/01/2025,Ocasa,devuelto
1130,19/03/2025,Ocasa,devuelto
1131,23/03/2025,Correo Argentino,devuelto
1132,08/07/2025,Ocasa,Entregado
1133,21/07/2025,Andreani,ENTREGADO
1134,08/09/2025,Andreani,en camino
1135,27/11/2025,Ocasa,ENTREGADO
1136,16/08/2025,Ocasa,Entregado
1137,01/05/2025,Andreani,devuelto
1138,27/03/2025,Moto,devuelto
1139,09/06/2025,Ocasa,Entregado
1140,15/05/2025,Ocasa,en camino
ID-1141,09/09/2025,Ocasa,devuelto
1142,01/08/2025,Andreani,Entregado
1143,10/05/2025,Andreani,devuelto
1144,29/08/2025,Correo Argentino,ENTREGADO
1145,24/04/2025,Moto,devuelto
1146,29/05/2025,Moto,en camino
1147,23/05/2025,Moto,ENTREGADO
1148,24/04/2025,Andreani,ENTREGADO
1149,06/01/2026,Correo Argentino,ENTREGADO
1150,06/11/2025,Correo Argentino,devuelto
1151.0,19/03/2025,Moto,Entregado
ID-1152,17/02/2025,Ocasa,devuelto
1153.0,05/12/2025,Ocasa,devuelto
1154,20/01/2025,Moto,Entregado
1155,19/01/2025,Ocasa,ENTREGADO
1156,23/02/2025,Moto,en camino
1157,20/09/2025,Ocasa,Entregado
1158.0,22/02/2025,Correo Argentino,ENTREGADO
1159 ,17/10/2025,Ocasa,devuelto
1160,02/04/2025,Ocasa,devuelto
1161,02/06/2025,Ocasa,ENTREGADO
1162,12/08/2025,Moto,Entregado
1163,24/04/2025,Moto,ENTREGADO
1164,19/05/2025,Andreani,en camino
1165 ,14/08/2025,Andreani,devuelto
1166,18/12/2025,Correo Argentino,ENTREGADO
1167,18/11/2025,Ocasa,en camino
1169,27/03/2025,Correo Argentino,ENTREGADO
1170.0,02/08/2025,Moto,devuelto
1171,30/05/2025,Correo Argentino,devuelto
1172,29/11/2025,Moto,ENTREGADO
1173,02/09/2025,Andreani,ENTREGADO
1174,28/07/2025,Ocasa,Entregado
1175,26/06/2025,Ocasa,devuelto
1177,24/02/2025,Andreani,ENTREGADO
1178,24/06/2025,Ocasa,devuelto
1179,04/06/2025,Moto,Entregado
1180 ,16/12/2025,Moto,ENTREGADO
1181,13/12/2025,Correo Argentino,Entregado
1183 ,02/07/2025,Correo Argentino,devuelto
1184,05/10/2025,Ocasa,devuelto
1185,30/06/2025,Andreani,en camino
1186,01/11/2025,Ocasa,ENTREGADO
1187,23/02/2025,Ocasa,devuelto
1188,15/03/2025,Ocasa,devuelto
1189,25/08/2025,Andreani,ENTREGADO
1190,27/04/2025,Moto,devuelto
1191,07/06/2025,Ocasa,devuelto
1192,09/12/2025,Correo Argentino,en camino
1193,06/06/2025,Ocasa,ENTREGADO
1194.0,25/10/2025,Andreani,devuelto
1195,05/11/2025,Ocasa,en camino
1196,05/10/2025,Correo Argentino,Entregado
1197,12/10/2025,Ocasa,ENTREGADO
1198,03/03/2025,Moto,ENTREGADO
1199,24/11/2025,Andreani,ENTREGADO
1200,26/11/2025,Andreani,Entregado
1201,02/05/2025,Moto,en camino
1202,26/04/2025,Moto,devuelto
1203,13/03/2025,Ocasa,ENTREGADO
1205,23/10/2025,Ocasa,ENTREGADO
ID-1206,02/07/2025,Andreani,devuelto
1207,15/08/2025,Ocasa,devuelto
1208,03/05/2025,Ocasa,devuelto
ID-1209.0,07/10/2025,Ocasa,devuelto
1210,05/01/2025,Moto,Entregado
1211,08/02/2025,Ocasa,devuelto
1212,11/11/2025,Moto,Entregado
1213,21/12/2025,Correo Argentino,Entregado
1214,16/03/2025,Andreani,ENTREGADO
1215,30/03/2025,Moto,Entregado
1217,31/07/2025,Ocasa,ENTREGADO
1218,15/01/2025,Andreani,Entregado
1219,31/01/2025,Andreani,Entregado
1220,14/04/2025,Ocasa,ENTREGADO
1221,26/03/2025,Ocasa,ENTREGADO
1223,10/06/2025,Correo Argentino,ENTREGADO
1224,14/10/2025,Moto,en camino
1225,21/11/2025,Correo Argentino,ENTREGADO
1226,25/03/2025,Ocasa,Entregado
1227,28/03/2025,Andreani,ENTREGADO
1228,14/05/2025,Correo Argentino,ENTREGADO
1229,21/05/2025,Andreani,devuelto
1230,20/11/2025,Andreani,ENTREGADO
1231,18/05/2025,Correo Argentino,Entregado
1232,08/03/2025,Ocasa,devuelto
ID-1233,03/06/2025,Andreani,ENTREGADO
1234,21/03/2025,Andreani,devuelto
1235,04/08/2025,Moto,ENTREGADO
1236,01/11/2025,Ocasa,Entregado
1239,23/10/2025,Correo Argentino,en camino
1240,19/11/2025,Andreani,ENTREGADO
1241,30/04/2025,Andreani,Entregado
1242,26/08/2025,Ocasa,devuelto
1243,05/04/2025,Ocasa,devuelto
1244,29/07/2025,Ocasa,devuelto
1245,17/04/2025,Ocasa,Entregado
1246,08/06/2025,Andreani,devuelto
1247,29/10/2025,Correo Argentino,Entregado
1248,17/10/2025,Moto,ENTREGADO
1249,18/11/2025,Correo Argentino,devuelto
1250,08/02/2025,Ocasa,devuelto
1251,14/07/2025,Ocasa,ENTREGADO
1252,31/05/2025,Moto,en camino
1253,27/01/2025,Andreani,en camino
1254,08/02/2025,Correo Argentino,Entregado
1255,02/11/2025,Ocasa,devuelto
1256,09/12/2025,Moto,ENTREGADO
1257,22/02/2025,Andreani,en camino
1258,27/10/2025,Ocasa,Entregado
1259,15/10/2025,Ocasa,ENTREGADO
1260,09/02/2025,Ocasa,en camino
1261,15/03/2025,Correo Argentino,Entregado
ID-1262,22/01/2025,Correo Argentino,ENTREGADO
1263,08/09/2025,Andreani,devuelto
1264,20/04/2025,Andreani,en camino
1267,02/10/2025,Ocasa,ENTREGADO
1268,18/09/2025,Ocasa,devuelto
1269,04/02/2025,Ocasa,ENTREGADO
1270,05/07/2025,Ocasa,ENTREGADO
1271,17/12/2025,Moto,ENTREGADO
1272,14/06/2025,Andreani,en camino
1274,07/08/2025,Ocasa,Entregado
1275,08/11/2025,Correo Argentino,devuelto
1276.0,25/03/2025,Moto,Entregado
1277,20/07/2025,Ocasa,Entregado
ID-1278,19/09/2025,Ocasa,ENTREGADO
1279,15/09/2025,Moto,devuelto
1280,05/11/2025,Correo Argentino,ENTREGADO
1281,11/11/2025,Ocasa,devuelto
ID-1282.0,20/02/2025,Ocasa,Entregado
1284,28/06/2025,Ocasa,ENTREGADO
1285,27/12/2025,Moto,Entregado
1287,25/05/2025,Correo Argentino,Entregado
1288 ,15/05/2025,Andreani,en camino
1289,25/06/2025,Ocasa,Entregado
1290,10/12/2025,Correo Argentino,devuelto
1291,18/10/2025,Andreani,Entregado
1292,16/02/2025,Andreani,Entregado
1294,27/10/2025,Moto,ENTREGADO
1295,08/06/2025,Ocasa,Entregado
1296.0,22/03/2025,Correo Argentino,devuelto
1297,09/01/2025,Moto,devuelto
1298,12/12/2025,Correo Argentino,en camino
1299,03/09/2025,Correo Argentino,ENTREGADO
1300.0,20/04/2025,Ocasa,Entregado
1301,16/01/2025,Correo Argentino,Entregado
1302,29/06/2025,Moto,devuelto
ID-1304,14/03/2025,Correo Argentino,Entregado
1305,29/10/2025,Andreani,ENTREGADO
1306,03/02/2025,Moto,devuelto
1307,07/01/2025,Andreani,Entregado
1308,03/01/2026,Moto,Entregado
1309,20/05/2025,Andreani,devuelto
1310,28/12/2025,Andreani,en camino
1312,24/03/2025,Moto,devuelto
1313,21/09/2025,Andreani,ENTREGADO
1314,27/06/2025,Ocasa,devuelto
1315,12/07/2025,Ocasa,devuelto
1316,16/05/2025,Andreani,ENTREGADO
1317,02/06/2025,Ocasa,Entregado
1318,24/08/2025,Andreani,Entregado
1320,06/03/2025,Moto,ENTREGADO
1322,27/03/2025,Andreani,en camino
1323,09/10/2025,Ocasa,ENTREGADO
1324,07/04/2025,Moto,devuelto
1326,29/08/2025,Correo Argentino,ENTREGADO
1327.0,05/07/2025,Andreani,devuelto
1328,25/11/2025,Moto,en camino
1329,08/09/2025,Ocasa,ENTREGADO
1330,19/10/2025,Moto,Entregado
1331,02/10/2025,Andreani,en camino
1332.0,08/09/2025,Andreani,Entregado
1333.0,11/10/2025,Ocasa,devuelto
1335,18/07/2025,Andreani,ENTREGADO
1336,08/02/2025,Moto,en camino
1337,28/04/2025,Ocasa,devuelto
1338,28/02/2025,Ocasa,devuelto
1339,20/02/2025,Moto,ENTREGADO
1340,04/09/2025,Andreani,devuelto
1341,30/10/2025,Andreani,en camino
1342,20/02/2025,Andreani,en camino
1343,22/01/2025,Ocasa,devuelto
1344,24/12/2025,Ocasa,Entregado
1345,24/08/2025,Andreani,ENTREGADO
1346 ,27/05/2025,Andreani,Entregado
ID-1347,06/06/2025,Ocasa,en camino
1348,14/08/2025,Andreani,Entregado
1349,24/01/2025,Moto,ENTREGADO
1350.0,29/01/2025,Correo Argentino,devuelto
1351,01/08/2025,Andreani,Entregado
1352,13/01/2025,Andreani,Entregado
1353,20/09/2025,Andreani,en camino
1354,07/01/2026,Correo Argentino,ENTREGADO
1355 ,31/01/2025,Ocasa,Entregado
1356,04/08/2025,Moto,devuelto
1357,28/06/2025,Moto,Entregado
1358,04/06/2025,Ocasa,ENTREGADO
1359.0,12/06/2025,Moto,en camino
1360,29/04/2025,Ocasa,ENTREGADO
1361,12/12/2025,Moto,en camino
1362,05/04/2025,Andreani,Entregado
1363,08/05/2025,Andreani,Entregado
1364,29/11/2025,Correo Argentino,Entregado
1365.0,22/03/2025,Moto,Entregado
1366,23/03/2025,Ocasa,en camino
1367,16/01/2025,Correo Argentino,Entregado
1368,25/09/2025,Ocasa,en camino
1369,03/02/2025,Andreani,devuelto
1370.0,15/09/2025,Correo Argentino,ENTREGADO
1371,17/01/2025,Andreani,devuelto
1372,29/01/2025,Moto,ENTREGADO
1373,05/06/2025,Ocasa,en camino
ID-1374,03/02/2025,Ocasa,devuelto
1375,30/10/2025,Correo Argentino,ENTREGADO
1376,02/11/2025,Andreani,ENTREGADO
1377,19/07/2025,Moto,devuelto
1378,27/02/2025,Ocasa,en camino
1379,27/12/2025,Andreani,devuelto
1380,21/11/2025,Moto,en camino
1382,26/12/2025,Andreani,Entregado
1383,24/04/2025,Ocasa,en camino
1384,06/10/2025,Andreani,devuelto
1385 ,17/03/2025,Correo Argentino,Entregado
1386,22/10/2025,Andreani,Entregado
1387 ,30/08/2025,Moto,en camino
1388,14/11/2025,Andreani,Entregado
1389,20/01/2025,Correo Argentino,devuelto
1390,16/02/2025,Moto,en camino
1391,10/02/2025,Moto,en camino
1392,05/06/2025,Andreani,en camino
1393,12/02/2025,Moto,ENTREGADO
1394,04/06/2025,Ocasa,en camino
1396,22/12/2025,Andreani,Entregado
1397.0,06/04/2025,Ocasa,Entregado
1398,01/06/2025,Andreani,en camino
1399,09/10/2025,Correo Argentino,devuelto
1400,25/04/2025,Ocasa,ENTREGADO
1401,23/03/2025,Moto,devuelto
1402,21/04/2025,Moto,Entregado
1403,17/03/2025,Ocasa,en camino
1404,11/04/2025,Andreani,en camino
1405,04/10/2025,Moto,Entregado
1406.0,30/07/2025,Ocasa,devuelto
1408,07/06/2025,Correo Argentino,en camino
1409,07/03/2025,Correo Argentino,Entregado
1410.0,03/07/2025,Correo Argentino,Entregado
1411,07/09/2025,Correo Argentino,devuelto
1412,23/03/2025,Andreani,Entregado
1413,18/09/2025,Ocasa,en camino
1414,11/06/2025,Andreani,Entregado
1415,14/02/2025,Correo Argentino,ENTREGADO
1416,17/01/2025,Andreani,devuelto
1417,25/06/2025,Ocasa,devuelto
1418,19/09/2025,Andreani,Entregado
1419 ,17/03/2025,Ocasa,Entregado
ID-1420,12/11/2025,Andreani,ENTREGADO
1421,26/05/2025,Andreani,devuelto
1422,25/03/2025,Correo Argentino,ENTREGADO
1423,31/01/2025,Andreani,Entregado
1424,12/05/2025,Correo Argentino,ENTREGADO
1425,01/01/2026,Ocasa,devuelto
1426,23/02/2025,Ocasa,Entregado
1427,08/03/2025,Moto,en camino
1428,08/12/2025,Andreani,ENTREGADO
1429,02/01/2026,Ocasa,en camino
1430,18/02/2025,Andreani,en camino
1431,22/07/2025,Moto,Entregado
1432,15/02/2025,Ocasa,devuelto
1433,11/02/2025,Moto,en camino
1434,11/04/2025,Ocasa,en camino
1435,06/07/2025,Moto,devuelto
1436,17/05/2025,Correo Argentino,Entregado
1437,28/03/2025,Correo Argentino,devuelto
1438,21/05/2025,Andreani,ENTREGADO
1439,24/10/2025,Andreani,devuelto
1440,25/11/2025,Andreani,ENTREGADO
1441,08/10/2025,Andreani,en camino
1442,02/04/2025,Andreani,devuelto
1443,26/05/2025,Ocasa,devuelto
1444,31/10/2025,Moto,devuelto
1445,07/09/2025,Correo Argentino,Entregado
1446,16/03/2025,Ocasa,devuelto
1447,03/01/2026,Andreani,Entregado
1448,31/07/2025,Moto,devuelto
1450,06/09/2025,Correo Argentino,devuelto
1452,06/10/2025,Andreani,Entregado
1453,29/03/2025,Andreani,ENTREGADO
1454,28/07/2025,Ocasa,devuelto
1455,07/05/2025,Andreani,en camino
1456,27/09/2025,Correo Argentino,en camino
1457,12/04/2025,Correo Argentino,ENTREGADO
1458,12/07/2025,Correo Argentino,devuelto
1459,06/11/2025,Correo Argentino,Entregado
1460,11/02/2025,Correo Argentino,Entregado
1461,05/10/2025,Ocasa,ENTREGADO
1462,26/05/2025,Ocasa,devuelto
1463,05/11/2025,Ocasa,devuelto
1464,18/10/2025,Moto,Entregado
1465,24/10/2025,Andreani,devuelto
1466.0,24/04/2025,Ocasa,ENTREGADO
1467,11/10/2025,Moto,ENTREGADO
1468,04/01/2026,Ocasa,devuelto
1469.0,15/05/2025,Correo Argentino,ENTREGADO
1470,23/05/2025,Moto,devuelto
1471,10/08/2025,Correo Argentino,devuelto
1472,05/03/2025,Correo Argentino,Entregado
1473,08/10/2025,Correo Argentino,en camino
1474,27/09/2025,Andreani,Entregado
1475 ,23/08/2025,Andreani,Entregado
1477,09/09/2025,Moto,en camino
1478,28/07/2025,Moto,en camino
1479 ,26/09/2025,Moto,devuelto
1481,01/01/2026,Ocasa,devuelto
ID-1482,22/12/2025,Correo Argentino,Entregado
1483,26/05/2025,Andreani,ENTREGADO
1484,18/06/2025,Andreani,en camino
1485,28/10/2025,Correo Argentino,Entregado
1486,14/02/2025,Correo Argentino,en camino
1487,06/09/2025,Ocasa,en camino
1488,20/04/2025,Moto,en camino
1489,02/02/2025,Moto,devuelto
1490,23/07/2025,Andreani,en camino
1491,06/02/2025,Ocasa,ENTREGADO
1492,08/08/2025,Correo Argentino,ENTREGADO
1493,24/12/2025,Moto,ENTREGADO
1494.0,17/08/2025,Andreani,Entregado
1495,20/05/2025,Moto,ENTREGADO
1496,18/07/2025,Correo Argentino,ENTREGADO
1497,02/04/2025,Andreani,Entregado
1498,19/08/2025,Moto,devuelto
1499,07/09/2025,Correo Argentino,ENTREGADO
1500,27/10/2025,Correo Argentino,devuelto
1501,14/10/2025,Andreani,ENTREGADO
1502,14/12/2025,Andreani,ENTREGADO
1503,12/12/2025,Correo Argentino,Entregado
1505 ,26/01/2025,Ocasa,devuelto
1506,08/03/2025,Andreani,ENTREGADO
1507,24/05/2025,Andreani,ENTREGADO
1508,08/04/2025,Ocasa,Entregado
1509,03/02/2025,Correo Argentino,devuelto
1510,11/02/2025,Andreani,ENTREGADO
1512,29/01/2025,Moto,ENTREGADO
ID-1513,22/11/2025,Andreani,en camino
1514,13/04/2025,Ocasa,devuelto
1515.0,23/08/2025,Ocasa,en camino
1516,08/12/2025,Moto,ENTREGADO
1517,16/01/2025,Ocasa,ENTREGADO
1518,15/02/2025,Correo Argentino,devuelto
1519,14/06/2025,Moto,Entregado
1520,14/11/2025,Ocasa,Entregado
1521 ,05/02/2025,Correo Argentino,en camino
ID-1522,27/09/2025,Ocasa,ENTREGADO
ID-1524,26/01/2025,Moto,en camino
1525,20/01/2025,Moto,devuelto
1526,03/10/2025,Andreani,ENTREGADO
1527,21/02/2025,Moto,ENTREGADO
1528,07/11/2025,Andreani,Entregado
1529,09/03/2025,Andreani,ENTREGADO
ID-1530,18/08/2025,Andreani,Entregado
ID-1531,04/06/2025,Moto,devuelto
1532,22/09/2025,Moto,en camino
1533.0,14/06/2025,Correo Argentino,en camino
1534,11/07/2025,Ocasa,devuelto
1536,04/07/2025,Ocasa,devuelto
1538,27/07/2025,Ocasa,en camino
1539,19/12/2025,Ocasa,en camino
1540,28/12/2025,Moto,devuelto
1541,06/03/2025,Andreani,devuelto
1542,20/09/2025,Correo Argentino,en camino
1543,17/05/2025,Moto,ENTREGADO
1544,03/05/2025,Andreani,devuelto
1545,07/01/2026,Correo Argentino,devuelto
1546,05/03/2025,Ocasa,devuelto
1547,07/02/2025,Andreani,en camino
1548,30/07/2025,Moto,Entregado
1549,11/11/2025,Andreani,ENTREGADO
1550,22/11/2025,Correo Argentino,devuelto
1551,01/03/2025,Andreani,Entregado
1552,10/02/2025,Andreani,Entregado
1554,30/06/2025,Ocasa,ENTREGADO
1555,17/01/2025,Moto,devuelto
1556,01/05/2025,Andreani,Entregado
1557,17/10/2025,Ocasa,en camino
1558,28/02/2025,Ocasa,Entregado
1559,19/03/2025,Andreani,Entregado
1560,22/08/2025,Correo Argentino,ENTREGADO
1561,13/03/2025,Correo Argentino,ENTREGADO
1562,15/09/2025,Andreani,devuelto
1563.0,07/04/2025,Andreani,devuelto
1564,27/06/2025,Ocasa,Entregado
1565,14/07/2025,Ocasa,ENTREGADO
1566,11/12/2025,Correo Argentino,ENTREGADO
1567,08/08/2025,Ocasa,ENTREGADO
1568,25/02/2025,Ocasa,en camino
1569,20/03/2025,Andreani,en camino
1570,13/10/2025,Ocasa,ENTREGADO
1571,19/02/2025,Andreani,ENTREGADO
1572,12/02/2025,Andreani,Entregado
1573,19/07/2025,Andreani,Entregado
ID-1575,11/03/2025,Ocasa,en camino
1576,14/06/2025,Ocasa,Entregado
1577,04/12/2025,Andreani,devuelto
1578 ,23/12/2025,Andreani,Entregado
1580,05/12/2025,Andreani,devuelto
1581 ,14/02/2025,Ocasa,Entregado
1582,29/05/2025,Ocasa,en camino
1583 ,02/10/2025,Correo Argentino,devuelto
1584,25/03/2025,Andreani,Entregado
1585,06/07/2025,Ocasa,devuelto
1586,19/05/2025,Moto,ENTREGADO
1587,11/09/2025,Correo Argentino,Entregado
1588,16/10/2025,Ocasa,devuelto
1589,07/03/2025,Andreani,en camino
1590,22/11/2025,Moto,Entregado
1591,14/11/2025,Moto,en camino
1592,18/08/2025,Moto,en camino
1593,28/01/2025,Ocasa,devuelto
1594,31/03/2025,Ocasa,Entregado
1595,04/09/2025,Andreani,Entregado
1596,01/06/2025,Moto,Entregado
1597 ,21/03/2025,Andreani,ENTREGADO
1598,05/02/2025,Andreani,devuelto
1599,22/07/2025,Andreani,devuelto
ID-1600,02/02/2025,Ocasa,ENTREGADO
1601,09/10/2025,Moto,Entregado
1602,12/04/2025,Andreani,devuelto
1603,13/05/2025,Correo Argentino,en camino
1605,06/08/2025,Moto,ENTREGADO
1606,07/03/2025,Moto,Entregado
1607,12/10/2025,Correo Argentino,ENTREGADO
1608,12/06/2025,Correo Argentino,ENTREGADO
1609,26/01/2025,Andreani,ENTREGADO
ID-1610,20/05/2025,Ocasa,devuelto
1611,21/10/2025,Correo Argentino,Entregado
1614,16/12/2025,Ocasa,devuelto
1615,16/09/2025,Ocasa,Entregado
1616 ,11/05/2025,Moto,devuelto
1617,28/04/2025,Andreani,Entregado
1618,11/01/2025,Andreani,en camino
1619,15/12/2025,Moto,devuelto
1620,26/05/2025,Ocasa,Entregado
1621,16/06/2025,Andreani,ENTREGADO
1622,07/06/2025,Ocasa,Entregado
1623 ,06/12/2025,Andreani,ENTREGADO
1625,11/07/2025,Andreani,en camino
1626,24/05/2025,Andreani,en camino
1627,11/07/2025,Correo Argentino,devuelto
1628,16/03/2025,Ocasa,Entregado
ID-1629 ,03/06/2025,Moto,devuelto
1630,27/09/2025,Correo Argentino,ENTREGADO
1631,23/10/2025,Ocasa,Entregado
1632,07/12/2025,Correo Argentino,ENTREGADO
ID-1634,03/09/2025,Moto,ENTREGADO
1635,06/06/2025,Andreani,devuelto
1636 ,30/01/2025,Andreani,Entregado
1637,18/07/2025,Andreani,ENTREGADO
1638,23/09/2025,Correo Argentino,devuelto
1639,03/05/2025,Correo Argentino,ENTREGADO
1640.0,24/07/2025,Ocasa,en camino
1641,07/04/2025,Correo Argentino,ENTREGADO
1642,11/05/2025,Andreani,ENTREGADO
1643,09/04/2025,Andreani,en camino
1644,03/07/2025,Andreani,Entregado
1645,17/05/2025,Ocasa,en camino
1646,18/08/2025,Correo Argentino,ENTREGADO
1647,29/12/2025,Correo Argentino,en camino
1648,24/06/2025,Ocasa,devuelto
1649,06/07/2025,Moto,Entregado
1650,03/09/2025,Moto,ENTREGADO
1651,17/06/2025,Ocasa,devuelto
1652.0,18/07/2025,Ocasa,ENTREGADO
1654,07/08/2025,Ocasa,devuelto
1655,26/03/2025,Andreani,devuelto
1656,12/07/2025,Moto,Entregado
1658 ,21/01/2025,Andreani,en camino
1659,28/08/2025,Andreani,en camino
1660,05/12/2025,Andreani,devuelto
1661,03/04/2025,Moto,Entregado
1662,02/03/2025,Moto,ENTREGADO
1663.0,12/03/2025,Ocasa,devuelto
1664,16/02/2025,Andreani,ENTREGADO
1665,29/10/2025,Andreani,ENTREGADO
1666,14/02/2025,Ocasa,Entregado
1667,07/11/2025,Andreani,ENTREGADO
1668,13/12/2025,Moto,devuelto
1669,21/12/2025,Ocasa,devuelto
1670,07/08/2025,Correo Argentino,en camino
1671 ,06/10/2025,Ocasa,en camino
1672,06/12/2025,Correo Argentino,en camino
ID-1673,01/04/2025,Ocasa,ENTREGADO
1675,21/03/2025,Correo Argentino,ENTREGADO
1676,24/08/2025,Moto,ENTREGADO
ID-1677,29/10/2025,Correo Argentino,Entregado
1678,17/05/2025,Moto,devuelto
1679.0,22/02/2025,Correo Argentino,ENTREGADO
1680 ,22/04/2025,Ocasa,devuelto
1681,27/08/2025,Ocasa,ENTREGADO
1682,27/02/2025,Moto,Entregado
1683,03/09/2025,Moto,Entregado
1684,22/05/2025,Andreani,devuelto
ID-1685,02/03/2025,Correo Argentino,ENTREGADO
1686,06/03/2025,Correo Argentino,en camino
1688,05/01/2026,Correo Argentino,en camino
1689,01/06/2025,Correo Argentino,ENTREGADO
ID-1690,25/07/2025,Ocasa,en camino
